epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,428.16,0.64836,0.55179,1.02147,0.90188,0.86869,0.90046,0.64225,0.94705,0.63504,1.28692,0.0007922,0.0007922,0.0007922
63,432.07,0.66403,0.5236,1.00971,0.93517,0.87428,0.89953,0.60329,0.99924,0.65834,1.35665,0.0007724,0.0007724,0.0007724
64,435.994,0.69521,0.53233,1.03884,0.91155,0.86869,0.90581,0.60235,1.00016,0.65234,1.36723,0.0007526,0.0007526,0.0007526
65,439.547,0.62619,0.4785,0.96572,0.891,0.83838,0.87853,0.60855,0.99058,0.65802,1.35758,0.0007328,0.0007328,0.0007328
66,442.801,0.68556,0.54128,1.04976,0.91967,0.84848,0.89504,0.64709,0.94381,0.60834,1.30626,0.000713,0.000713,0.000713
67,445.925,0.59671,0.48417,0.99523,0.95979,0.85859,0.89371,0.64635,0.93789,0.61576,1.30286,0.0006932,0.0006932,0.0006932
68,449.902,0.62055,0.4859,0.97822,0.90345,0.84848,0.89406,0.64851,0.93547,0.58043,1.3119,0.0006734,0.0006734,0.0006734
69,453.747,0.63818,0.51485,1.02396,0.911,0.82721,0.87802,0.62969,0.94174,0.61921,1.31893,0.0006536,0.0006536,0.0006536
70,457.663,0.61008,0.48006,0.94083,0.96549,0.84789,0.90352,0.62805,0.93486,0.59725,1.29536,0.0006338,0.0006338,0.0006338
71,461.531,0.62235,0.48064,0.98255,0.95899,0.83838,0.90824,0.63326,0.92016,0.59523,1.268,0.000614,0.000614,0.000614
72,465.373,0.66672,0.4988,1.00739,0.94576,0.84848,0.90307,0.62307,0.89903,0.57584,1.25743,0.0005942,0.0005942,0.0005942
73,468.93,0.59772,0.44265,0.97011,0.92507,0.84848,0.9051,0.63636,0.94547,0.59411,1.3024,0.0005744,0.0005744,0.0005744
74,472.701,0.57615,0.47083,0.94893,0.94272,0.85859,0.91064,0.65046,0.93208,0.58195,1.29593,0.0005546,0.0005546,0.0005546
