epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,25789.7,1.4035,0.88315,1.05489,0.548,0.42715,0.44498,0.24914,1.41733,0.88217,1.03342,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,26265.4,1.40509,0.87934,1.05253,0.59787,0.40906,0.44257,0.24763,1.41904,0.88087,1.03414,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,26741,1.39783,0.87795,1.05221,0.61636,0.40409,0.43892,0.24798,1.41507,0.88077,1.0342,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,27216.2,1.4005,0.87793,1.05256,0.55608,0.42468,0.43572,0.24599,1.4174,0.87911,1.03417,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,27691.8,1.39285,0.86849,1.04868,0.61569,0.41032,0.43978,0.24862,1.41173,0.87268,1.03288,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,28168.1,1.39244,0.86439,1.04805,0.61327,0.4134,0.43634,0.24805,1.41019,0.87552,1.03229,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,28643.4,1.38787,0.86593,1.04733,0.64551,0.40528,0.43786,0.24909,1.41174,0.87646,1.03153,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,29118.8,1.38694,0.85916,1.04398,0.65113,0.39971,0.44088,0.24999,1.41484,0.87791,1.03342,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,29594.6,1.38282,0.8574,1.04457,0.61049,0.4012,0.4395,0.24848,1.41534,0.87811,1.0326,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,30070,1.38192,0.85457,1.04349,0.63946,0.39555,0.44687,0.25209,1.41332,0.87721,1.03073,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,30546.6,1.38102,0.85688,1.04325,0.6194,0.4082,0.44573,0.25299,1.41404,0.87906,1.03205,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,31024.6,1.37886,0.85747,1.04403,0.61362,0.41331,0.44108,0.25037,1.41541,0.88002,1.03495,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,31500.6,1.37682,0.85009,1.04188,0.60801,0.40052,0.43884,0.24935,1.41543,0.87606,1.03485,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
