epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,30915.9,1.18143,0.70192,0.96304,0.76474,0.53827,0.61691,0.37462,1.07826,0.64089,0.91621,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,31390.7,1.17807,0.69595,0.96094,0.71701,0.55748,0.61641,0.37261,1.07923,0.64097,0.91655,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,31865.3,1.17949,0.70086,0.96434,0.74762,0.53917,0.61563,0.37387,1.07849,0.64364,0.91557,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,32340.2,1.17551,0.69426,0.96315,0.7549,0.53737,0.61423,0.37485,1.07822,0.64493,0.91574,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,32814.8,1.16754,0.68874,0.96006,0.74281,0.53986,0.61691,0.37818,1.07681,0.64352,0.91583,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,33289.5,1.16989,0.69015,0.9601,0.71712,0.54815,0.61695,0.37881,1.07848,0.64192,0.91603,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,33763.9,1.1736,0.69138,0.95916,0.69701,0.5711,0.618,0.38014,1.07666,0.63934,0.91525,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,34238.3,1.17049,0.68859,0.95923,0.69542,0.56105,0.61666,0.38099,1.07415,0.63826,0.91397,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,34713.1,1.16885,0.68719,0.9594,0.71828,0.55254,0.61849,0.38293,1.07448,0.63468,0.91398,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,35187.7,1.1638,0.68348,0.95728,0.70974,0.54709,0.61739,0.38165,1.0736,0.63455,0.91282,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,35662.1,1.1654,0.68606,0.95585,0.72495,0.54056,0.61874,0.38351,1.07513,0.63343,0.91287,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,36136.4,1.16809,0.68564,0.95767,0.72647,0.54099,0.62027,0.38288,1.07545,0.6332,0.91257,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,36611.1,1.16445,0.68169,0.95557,0.69943,0.5529,0.62067,0.38362,1.07407,0.63227,0.91215,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,37085.6,1.15686,0.67818,0.95389,0.71511,0.55743,0.62758,0.38742,1.07336,0.63121,0.91149,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,37560.3,1.15591,0.6777,0.95365,0.7598,0.53062,0.6269,0.38767,1.07258,0.63049,0.91171,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,38034.9,1.16082,0.67985,0.95511,0.70264,0.56218,0.62854,0.38953,1.07174,0.63066,0.91175,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,38509.2,1.15236,0.67652,0.95393,0.68983,0.58824,0.63403,0.39101,1.07112,0.62963,0.91165,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,38983.6,1.15565,0.67698,0.95235,0.69094,0.58304,0.63458,0.39191,1.07106,0.62906,0.91154,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,39458.1,1.15109,0.67293,0.95085,0.69818,0.58145,0.63684,0.39267,1.07012,0.62821,0.91153,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,39932.9,1.154,0.67447,0.95113,0.70697,0.58005,0.63724,0.39248,1.06936,0.62711,0.91143,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
